group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decoding chip8 rom,,,,,94236135.0,ns,1
decoding chip8 rom,,,,,89360287.0,ns,1
decoding chip8 rom,,,,,89371216.0,ns,1
decoding chip8 rom,,,,,89270055.0,ns,1
decoding chip8 rom,,,,,89690625.0,ns,1
decoding chip8 rom,,,,,89211750.0,ns,1
decoding chip8 rom,,,,,89228345.0,ns,1
decoding chip8 rom,,,,,89193142.0,ns,1
decoding chip8 rom,,,,,89299549.0,ns,1
decoding chip8 rom,,,,,89192848.0,ns,1
decoding chip8 rom,,,,,89124292.0,ns,1
decoding chip8 rom,,,,,89599651.0,ns,1
decoding chip8 rom,,,,,89401276.0,ns,1
decoding chip8 rom,,,,,89240184.0,ns,1
decoding chip8 rom,,,,,89010832.0,ns,1
decoding chip8 rom,,,,,89226615.0,ns,1
decoding chip8 rom,,,,,89182457.0,ns,1
decoding chip8 rom,,,,,89166326.0,ns,1
decoding chip8 rom,,,,,89009059.0,ns,1
decoding chip8 rom,,,,,89432216.0,ns,1
decoding chip8 rom,,,,,89239968.0,ns,1
decoding chip8 rom,,,,,89219354.0,ns,1
decoding chip8 rom,,,,,89566910.0,ns,1
decoding chip8 rom,,,,,89182101.0,ns,1
decoding chip8 rom,,,,,89489961.0,ns,1
decoding chip8 rom,,,,,89281173.0,ns,1
decoding chip8 rom,,,,,89180840.0,ns,1
decoding chip8 rom,,,,,89217577.0,ns,1
decoding chip8 rom,,,,,89231362.0,ns,1
decoding chip8 rom,,,,,89139086.0,ns,1
decoding chip8 rom,,,,,89479493.0,ns,1
decoding chip8 rom,,,,,89208741.0,ns,1
decoding chip8 rom,,,,,93833777.0,ns,1
decoding chip8 rom,,,,,89756816.0,ns,1
decoding chip8 rom,,,,,89567385.0,ns,1
decoding chip8 rom,,,,,89281930.0,ns,1
decoding chip8 rom,,,,,89072865.0,ns,1
decoding chip8 rom,,,,,89270867.0,ns,1
decoding chip8 rom,,,,,89184351.0,ns,1
decoding chip8 rom,,,,,89156436.0,ns,1
decoding chip8 rom,,,,,89276573.0,ns,1
decoding chip8 rom,,,,,89206122.0,ns,1
decoding chip8 rom,,,,,89233573.0,ns,1
decoding chip8 rom,,,,,89267736.0,ns,1
decoding chip8 rom,,,,,89613116.0,ns,1
decoding chip8 rom,,,,,90106741.0,ns,1
decoding chip8 rom,,,,,89264926.0,ns,1
decoding chip8 rom,,,,,89104289.0,ns,1
decoding chip8 rom,,,,,89096617.0,ns,1
decoding chip8 rom,,,,,89908416.0,ns,1
decoding chip8 rom,,,,,89066853.0,ns,1
decoding chip8 rom,,,,,89214773.0,ns,1
decoding chip8 rom,,,,,89134687.0,ns,1
decoding chip8 rom,,,,,89316412.0,ns,1
decoding chip8 rom,,,,,90802267.0,ns,1
decoding chip8 rom,,,,,89076261.0,ns,1
decoding chip8 rom,,,,,89394012.0,ns,1
decoding chip8 rom,,,,,89107569.0,ns,1
decoding chip8 rom,,,,,89270716.0,ns,1
decoding chip8 rom,,,,,89141383.0,ns,1
decoding chip8 rom,,,,,89274005.0,ns,1
decoding chip8 rom,,,,,89074752.0,ns,1
decoding chip8 rom,,,,,89186819.0,ns,1
decoding chip8 rom,,,,,89267184.0,ns,1
decoding chip8 rom,,,,,89232600.0,ns,1
decoding chip8 rom,,,,,89292603.0,ns,1
decoding chip8 rom,,,,,89210595.0,ns,1
decoding chip8 rom,,,,,89809063.0,ns,1
decoding chip8 rom,,,,,89329143.0,ns,1
decoding chip8 rom,,,,,89233467.0,ns,1
decoding chip8 rom,,,,,89180381.0,ns,1
decoding chip8 rom,,,,,89300621.0,ns,1
decoding chip8 rom,,,,,89181775.0,ns,1
decoding chip8 rom,,,,,89464171.0,ns,1
decoding chip8 rom,,,,,89226558.0,ns,1
decoding chip8 rom,,,,,89130164.0,ns,1
decoding chip8 rom,,,,,89183901.0,ns,1
decoding chip8 rom,,,,,93831029.0,ns,1
decoding chip8 rom,,,,,89647000.0,ns,1
decoding chip8 rom,,,,,89612051.0,ns,1
decoding chip8 rom,,,,,89462352.0,ns,1
decoding chip8 rom,,,,,89357997.0,ns,1
decoding chip8 rom,,,,,89271634.0,ns,1
decoding chip8 rom,,,,,89216912.0,ns,1
decoding chip8 rom,,,,,89096709.0,ns,1
decoding chip8 rom,,,,,89042522.0,ns,1
decoding chip8 rom,,,,,89386912.0,ns,1
decoding chip8 rom,,,,,89389246.0,ns,1
decoding chip8 rom,,,,,89258670.0,ns,1
decoding chip8 rom,,,,,89707868.0,ns,1
decoding chip8 rom,,,,,89444740.0,ns,1
decoding chip8 rom,,,,,89228785.0,ns,1
decoding chip8 rom,,,,,89198203.0,ns,1
decoding chip8 rom,,,,,89110451.0,ns,1
decoding chip8 rom,,,,,89029005.0,ns,1
decoding chip8 rom,,,,,89270669.0,ns,1
decoding chip8 rom,,,,,89241213.0,ns,1
decoding chip8 rom,,,,,89405249.0,ns,1
decoding chip8 rom,,,,,89304320.0,ns,1
decoding chip8 rom,,,,,89236176.0,ns,1
